id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1432683986719969286,1432683986719969286,2021-08-31 18:07:35 IST,2021-08-31,18:07:35,+0530,742801860914864128,mla_sudhakar,Dr Sudhakar K,,India 🇮🇳 crosses ONE CRORE vaccines in a day for the second time in five days!  #India #onecrore #vaccine @narendramodi @CMofKarnataka @mansukhmandviya,en,"[{'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}, {'screen_name': 'cmofkarnataka', 'name': 'cm of karnataka', 'id': '2713703797'}, {'screen_name': 'mansukhmandviya', 'name': 'mansukh mandaviya', 'id': '432697203'}]",[],[],0,5,51,"['india', 'onecrore', 'vaccine']",[],https://twitter.com/mla_sudhakar/status/1432683986719969286,False,,0,,,,,,,,[],,,,
1432679602049126407,1432679602049126407,2021-08-31 17:50:09 IST,2021-08-31,17:50:09,+0530,811192656,mindingottawa,Blacklock's Reporter,,"EMAILS show @GovCanHealth toned down @JustinTrudeau #vaccine claims, warned ""we could be in for a longer haul"" even with Covid shots.  https://t.co/k3eTfv7d0z #cdnpoli  https://t.co/2VHOfEuomG",en,"[{'screen_name': 'govcanhealth', 'name': 'health canada and phac', 'id': '36375825'}, {'screen_name': 'justintrudeau', 'name': 'justin trudeau', 'id': '14260960'}]",['https://www.blacklocks.ca/staff-toned-down-pm-claims/'],['https://pbs.twimg.com/media/E-HmgTzWEAIvW3i.jpg'],1,14,18,"['vaccine', 'cdnpoli']",[],https://twitter.com/mindingottawa/status/1432679602049126407,False,,1,https://pbs.twimg.com/media/E-HmgTzWEAIvW3i.jpg,,,,,,,[],,,,
1432674175173468162,1432674175173468162,2021-08-31 17:28:35 IST,2021-08-31,17:28:35,+0530,18860860,khaleejtimes,Khaleej Times,,"The #UAE has administered 18,174,994 doses of the #Covid19Vaccine to date, authorities announced.  Official data released on Tuesday, Aug 31, said 63,831 doses of the vaccine were administered in the last 24 hours. The net dose rate is 183.76 per 100 people.  #COVID19 #vaccine  https://t.co/UwVipzzlwg",en,[],[],['https://pbs.twimg.com/media/E-Hhh2dXIAc0S0_.jpg'],0,2,19,"['uae', 'covid19vaccine', 'covid19', 'vaccine']",[],https://twitter.com/khaleejtimes/status/1432674175173468162,False,,1,https://pbs.twimg.com/media/E-Hhh2dXIAc0S0_.jpg,,,,,,,[],,,,
1432673932109402112,1432673932109402112,2021-08-31 17:27:37 IST,2021-08-31,17:27:37,+0530,1270716742818357248,nighatyz,Nighat Yousafzay,,Breaking News!! Non vaccinated citizens entering shopping malls will be arrested.   #COVID19  #coronavirus  #news  #vaccine  https://t.co/jIWZHalpui,en,[],[],['https://pbs.twimg.com/media/E-HhWNlWEAIemrK.jpg'],2,2,14,"['covid19', 'coronavirus', 'news', 'vaccine']",[],https://twitter.com/NighatYZ/status/1432673932109402112,False,,1,https://pbs.twimg.com/media/E-HhWNlWEAIemrK.jpg,,,,,,,[],,,,
1432673550373056514,1432673550373056514,2021-08-31 17:26:06 IST,2021-08-31,17:26:06,+0530,1138152077782278144,akashanuragjha1,Sergeant. (NCC) Akash Anurag Jha,,"As of 5:22 P.M. a total of 99,36,110 jabs of #vaccine administered across #Bharat !  #Bihar leads the nation with 14,24,979 #Vaccine Jabs for the day followed by #UP at 11,23,533. Great work #BiharHealthDept ! Let's hit the #1croredoses mark again!  #COVID19",en,[],[],[],2,1,10,"['vaccine', 'bharat', 'bihar', 'vaccine', 'up', 'biharhealthdept', '1croredoses', 'covid19']",[],https://twitter.com/AkashAnuragJha1/status/1432673550373056514,False,,0,,,,,,,,[],,,,
1432669083158265857,1432669083158265857,2021-08-31 17:08:21 IST,2021-08-31,17:08:21,+0530,933298689312821248,marinyan812,橘 まりや Singapore在住🇸🇬,,腕痛くなってきました。  #Singapore  #vaccine  #モデルナ2回目,ja,[],[],[],2,0,16,"['singapore', 'vaccine', 'モデルナ2回目']",[],https://twitter.com/marinyan812/status/1432669083158265857,False,,0,,,,,,,,[],,,,
1432666695869501445,1432666695869501445,2021-08-31 16:58:52 IST,2021-08-31,16:58:52,+0530,18373968,minhazmerchant,Minhaz Merchant,,87 lakh #vaccine doses administered by 4.45pm. Could be another big day (Vaccine-doubters though will not be happy),en,[],[],[],24,68,435,['vaccine'],[],https://twitter.com/MinhazMerchant/status/1432666695869501445,False,,0,,,,,,,,[],,,,
1432666377798701063,1432666377798701063,2021-08-31 16:57:36 IST,2021-08-31,16:57:36,+0530,1343691230425870339,covenofsatan,The Coven of Satan,,"Faith often creates a mindset of science denial.  Reason, common sense and a basic scientific understanding can alleviate much of the problems on 'how to navigate a pandemic'.  See our Coven guidance on Covid-19: #covenofsatan #vaccine @AP  https://t.co/1osz7umBOp",en,"[{'screen_name': 'ap', 'name': 'the associated press', 'id': '51241574'}]",[],['https://pbs.twimg.com/media/E-HaeoqX0AMyA__.jpg'],0,5,15,"['covenofsatan', 'vaccine']",[],https://twitter.com/CovenofSatan/status/1432666377798701063,False,https://twitter.com/AP/status/1432648451121192960,1,https://pbs.twimg.com/media/E-HaeoqX0AMyA__.jpg,,,,,,,[],,,,
1432666114232815621,1432666114232815621,2021-08-31 16:56:33 IST,2021-08-31,16:56:33,+0530,430655678,avalvikatan,AvalVikatan,,"புஷ்பலதா ஏழரை மணி நேரத்தில் 893 பேருக்கு தடுப்பூசி போட்டதும், கேரள மாநிலத்தில் இதற்கு முன்பு இதுபோன்று யாரும் ஒரே நாளில் இத்தனை எண்ணிக்கையில் ஊசி போட்டதில்லை என்றும் தெரியவந்தது.   https://t.co/DQqJPTBMHc  #Vaccine | #Kerala | #Nurse",ta,[],['https://bit.ly/3ytlkSJ'],[],0,3,17,"['vaccine', 'kerala', 'nurse']",[],https://twitter.com/AvalVikatan/status/1432666114232815621,False,,0,,,,,,,,[],,,,
1432665628985290757,1432665627328598020,2021-08-31 16:54:38 IST,2021-08-31,16:54:38,+0530,1234824733457125377,taiwanalerts,停班停課最新通知🇹🇼,,【首批90多萬劑 指揮中心：對台意義重大】  指揮中心指揮官陳時中下午在疫情記者會表示，無法確認實際到貨時間，但據掌握時間相當接近，首批到貨BNT疫苗約90多萬劑，「這批貨來，對台灣來講意義重大」，陳時中強調，屆時他會接機。  #vaccine,zh,[],[],[],0,2,51,['vaccine'],[],https://twitter.com/TaiwanAlerts/status/1432665628985290757,False,,0,,,,,,,,[],,,,
