id,created_at,tweet,sum,true_value,polarity_api_output,is_same,concept_api_output,conversation_id,date,time,timezone,user_id,username,name,place,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1369812663623180288,2021-03-11 6:19:23,"In great news my senior parents are getting the vaccine tomorrow. <EMOJI:red_heart> Whew, thank goodness. #vaccine",2,POSITIVE,POSITIVE,1,"['great news', 'senior', 'vaccine', 'thank', 'goodness', 'vaccine']",1369812663623180288,2021-03-11,06:19:23,530,2461059815,peacefulkinds,peace lady,,en,[],[],[],1.0,0.0,14.0,['vaccine'],[],https://twitter.com/peacefulkinds/status/1369812663623180288,False,,0.0,,,,,,,,[],,,,
1354514776534220804,2021-01-28 1:11:03,"Our Co-Founder and CEO <USER> recently received her COVID-19 vaccination! As more and more people have the opportunity to get vaccinated we must spread awareness that the #vaccine is effective, safe, and our best tool against #COVID19. #VaccinesSaveLives #GetVaccinated",2,POSITIVE,NEGATIVE,0,"['founder', 'recent', 'covid', 'vaccine', 'vaccine', 'spread', 'awareness', 'vaccine', 'effective', 'safe', 'best', 'tool', 'against', 'covid']",1354514776534220804,2021-01-28,01:11:03,530,814910681325649920,charityh4tw,Health4TheWorld,,en,"[{'screen_name': 'bhavyarehanimd', 'name': 'bhavya rehani, md', 'id': '385776051'}]",[],['https://pbs.twimg.com/media/Esw0ArjXUAA0Crk.jpg'],1.0,12.0,35.0,"['vaccine', 'covid19', 'vaccinessavelives', 'getvaccinated']",[],https://twitter.com/CharityH4TW/status/1354514776534220804,False,,1.0,https://pbs.twimg.com/media/Esw0ArjXUAA0Crk.jpg,,,,,,,[],,,,
1349045265945264130,2021-01-12 22:57:10,"""This is all we have left. This can't fail."" <USER>says America needs to make mass vaccinations its #1 priority. Plus, Can you spread #COVID19 even after 2 #vaccine doses?"" Find out here <EMOJI:backhand_index_pointing_down><EMOJI:light_skin_tone>",0.2,POSITIVE,POSITIVE,1,"['fail', 'make', 'vaccine', 'priority', 'plus', 'spread', 'covid', 'vaccine', 'dose']",1349045265945264130,2021-01-12,22:57:10,530,497262990,jchatterleycnn,Julia Chatterley,,en,"[{'screen_name': 'peterhotez', 'name': 'prof peter hotez md phd', 'id': '593289567'}]",[],[],8.0,41.0,147.0,"['covid19', 'vaccine']",[],https://twitter.com/jchatterleyCNN/status/1349045265945264130,False,,1.0,https://pbs.twimg.com/media/ErjF9cjXAAcrbyE.jpg,,,,,,,[],,,,
1366793773728980992,2021-03-02 22:23:24,Dear #MAGA Trump NEVER cared about you. He Jim Jones'd y'all. Stop drinking the punch and get on that plane! #Traitor #vaccine,-1.2,NEGATIVE,POSITIVE,0,"['cared', 'stop', 'punch', 'plane', 'traitor', 'vaccine']",1366793773728980992,2021-03-02,22:23:24,530,88596684,carlosalazraqui,Carlos Alazraqui,,en,[],['https://www.cnn.com/videos/health/2021/03/02/donald-melania-trump-got-covid-19-vaccine-in-secret-hotez-sot-newday-sot-vpx.cnn'],[],0.0,7.0,29.0,"['maga', 'traitor', 'vaccine']",[],https://twitter.com/carlosalazraqui/status/1366793773728980992,False,,0.0,,,,,,,,[],,,,
1371004616897269763,2021-03-14 13:15:47,I am all for risk triaging and in turn getting vaccinated in due course. But why has <USER> had two more vaccines more than basically every health care worker I know? <EMOJI:thinking_face> #auspol #vaccine #COVID19Aus,-1.1,NEGATIVE,POSITIVE,0,"['health care', 'risk', 'turn', 'vaccine', 'vaccine', 'basically', 'worker', 'know', 'vaccine']",1371004616897269763,2021-03-14,13:15:47,530,56101799,psychwrite,Jackie Rakov Ψ,,en,"[{'screen_name': 'scottmorrisonmp', 'name': 'scott morrison', 'id': '34116377'}]",[],[],1.0,2.0,20.0,"['auspol', 'vaccine', 'covid19aus']",[],https://twitter.com/psychwrite/status/1371004616897269763,False,,0.0,,,,,,,,[],,,,
1356666221450690560,2021-02-02 23:40:07,It was great for <USER> members to be on a call with <USER> and <USER> on the roll-out of the vaccination. It was good to hear that East London will be opening up a vaccination center. #SaveLives #covid19 #vaccine,2,POSITIVE,POSITIVE,1,"['great', 'call', 'roll', 'vaccine', 'good', 'hear', 'opening', 'vaccine', 'cent', 'covid', 'vaccine']",1356666221450690560,2021-02-02,23:40:07,530,550929492,londonfaiths,Faiths Forum,,en,"[{'screen_name': 'londonfaiths', 'name': 'faiths forum', 'id': '550929492'}, {'screen_name': 'team_greenhalgh', 'name': 'stephen greenhalgh', 'id': '2918045255'}]",[],['https://pbs.twimg.com/media/EtPXNSxXcAIknV6.jpg'],1.0,11.0,28.0,"['savelives', 'covid19', 'vaccine']",[],https://twitter.com/LondonFaiths/status/1356666221450690560,False,,1.0,https://pbs.twimg.com/media/EtPXNSxXcAIknV6.jpg,,,,,,,[],,,,
1352375432214142978,2021-01-22 3:30:03,"Mags says My son ,who is a nurse ,and some of his colleagues had their first vaccine before Christmas ,everyone who had the vaccine were later ill and tested positive for #covid , all the other nurses who said no to the #vaccine were all ok !!,",-0.7,NEGATIVE,POSITIVE,0,"['christmas eve', 'tested positive', 'mage', 'colleague', 'vaccine', 'vaccine', 'late', 'covid', 'vaccine', 'ok']",1352375432214142978,2021-01-22,03:30:03,530,351347712,mojos55,Maureen Fitzsimmons,,en,[],[],[],19.0,43.0,73.0,"['covid', 'vaccine']",[],https://twitter.com/mojos55/status/1352375432214142978,False,,0.0,,,,,,,,[],,,,
1357212378765684738,2021-02-04 11:50:21,"#Israel is now offering the #vaccine to anyone over age 16. They have vaccinated 3.3 million people to date and are leading the global inoculation effort. Same time country is under #lockdown, cabinet to discuss extension today &amp; #elections are around the corner. Hang in there",1.2,POSITIVE,NEGATIVE,0,"['offering', 'vaccine', 'vaccine', 'leading', 'inoculation', 'effort', 'time', 'cabinet', 'discuss', 'hang']",1357212378765684738,2021-02-04,11:50:21,530,153908352,michaldivon,Michal Divon מיכל דיבון ميخال ديفون,,en,[],[],[],1.0,9.0,40.0,"['israel', 'vaccine', 'lockdown', 'elections']",[],https://twitter.com/michaldivon/status/1357212378765684738,False,,0.0,,,,,,,,[],,,,
1371143426599702528,2021-03-14 22:27:22,My first shot today. Wishing everybody good health and end to this hideous pandemic #COVID19 #vaccine,2,POSITIVE,POSITIVE,1,"['good health', 'wish', 'end', 'hideous', 'pandemic', 'covid', 'vaccine']",1371143426599702528,2021-03-14,22:27:22,530,45275775,iyadabumoghli,Iyad Abumoghli,,en,[],[],['https://pbs.twimg.com/media/EwdHrPyW8AII0QP.jpg'],7.0,0.0,16.0,"['covid19', 'vaccine']",[],https://twitter.com/iyadabumoghli/status/1371143426599702528,False,,1.0,https://pbs.twimg.com/media/EwdHrPyW8AII0QP.jpg,,,,,,,[],,,,
1364394016406712324,2021-02-24 7:27:37,"Can I use the #Liberal mantra, ""my body, my choice,"" when it comes to a #vaccine? Or is that line exclusive to murdering babies?? #NoVaccineForMe #AbortionIsMurder #BabiesLivesMatter",-0.9,NEGATIVE,POSITIVE,0,"['liberal', 'mantra', 'choice', 'vaccine', 'exclusive', 'murder']",1364394016406712324,2021-02-24,07:27:37,530,1258471176671768576,armedpatriot45,Shawn Hawkins,,en,[],[],[],2.0,18.0,46.0,"['liberal', 'vaccine', 'novaccineforme', 'abortionismurder', 'babieslivesmatter']",[],https://twitter.com/ArmedPatriot45/status/1364394016406712324,False,,0.0,,,,,,,,[],,,,
