,id,tweet
0,1369812663623180288,"In great news my senior parents are getting the vaccine tomorrow. <EMOJI:red_heart> Whew, thank goodness. #vaccine"
1,1354514776534220804,"Our Co-Founder and CEO <USER> recently received her COVID-19 vaccination! As more and more people have the opportunity to get vaccinated we must spread awareness that the #vaccine is effective, safe, and our best tool against #COVID19. #VaccinesSaveLives #GetVaccinated"
2,1349045265945264130,"""This is all we have left. This can't fail."" <USER>says America needs to make mass vaccinations its #1 priority. Plus, Can you spread #COVID19 even after 2 #vaccine doses?"" Find out here <EMOJI:backhand_index_pointing_down><EMOJI:light_skin_tone>"
3,1366793773728980992,Dear #MAGA Trump NEVER cared about you. He Jim Jones'd y'all. Stop drinking the punch and get on that plane! #Traitor #vaccine
4,1365339417997623296,"On 25 February 485,720 1st doses<EMOJI:syringe> were administered across the UK <EMOJI:chart_increasing>8% day on day rate increase <EMOJI:chart_increasing>7% week on week rate increase <EMOJI:chart_increasing>7-day average of 328,860 (up from 324,108) Here we go, 7-day average on the rise again! <EMOJI:flexed_biceps> #vaccine #COVID19"
5,1358108212055203844,The UAEs winning cards that keep them awake: A giant magnet to world talent and entrepreneurs The worlds 2nd fastest #vaccine roll-out Launch of Al Barakah Nuclear energy <USER>
6,1371004616897269763,I am all for risk triaging and in turn getting vaccinated in due course. But why has <USER> had two more vaccines more than basically every health care worker I know? <EMOJI:thinking_face> #auspol #vaccine #COVID19Aus
7,1356666221450690560,It was great for <USER> members to be on a call with <USER> and <USER> on the roll-out of the vaccination. It was good to hear that East London will be opening up a vaccination center. #SaveLives #covid19 #vaccine
8,1352375432214142978,"Mags says My son ,who is a nurse ,and some of his colleagues had their first vaccine before Christmas ,everyone who had the vaccine were later ill and tested positive for #covid , all the other nurses who said no to the #vaccine were all ok !!,"
9,1357212378765684738,"#Israel is now offering the #vaccine to anyone over age 16. They have vaccinated 3.3 million people to date and are leading the global inoculation effort. Same time country is under #lockdown, cabinet to discuss extension today &amp; #elections are around the corner. Hang in there"
10,1356389129781673985,"CHD is calling on anyone who has suffered a #vaccine side effect to do three things: file a report on the U.S. governments VAERS website, report the injury on and also here, on the CHD website."
11,1361768521949192198,Steve Bell on #GavinWilliamson #FreeSpeech #FreeSpeechChampion #WarOnWoke #Universities. #lockdown #COVID19 #Covid_19 #vaccine - - political cartoon gallery in London
12,1371143426599702528,My first shot today. Wishing everybody good health and end to this hideous pandemic #COVID19 #vaccine
13,1364394016406712324,"Can I use the #Liberal mantra, ""my body, my choice,"" when it comes to a #vaccine? Or is that line exclusive to murdering babies?? #NoVaccineForMe #AbortionIsMurder #BabiesLivesMatter"
14,1375851778340749313,"Watching Brazil feels like were watching the alternate future that might have been ours from Jan on. We have to help them. My answer to what do we do with expected surplus #COVID19 #vaccine? is send it to Brazil, quickly."
15,1361389133231517699,This has to stop! Reject the #mRNA #COVID #vaccine! 28-Year-old Wisconsin Healthcare Worker has Aneurysm Brain Dead Five Days After Second Experimental Pfizer mRNA COVID Injection
16,1347738564688281600,"I do believe that the Trump brigade is retreating from Twitter. I've lost about 1.5% of my followers and hopefully 95% of the anti-vaxers. To the 98.5% sticking around, I look forward to enjoying an elevated level of discourse with you all. #COVID19 #vaccine"
17,1353294168039313409,"No you haven't. Vaccinated is achieved after both doses. Boris Johnson sets out to deliberately mislead, with this lie. #vaccination #vaccine #COVID19 #Covid_19 #COVID #BorisJohnson"
18,1345743906705715201,If someone is vaccinated now this person is a test object. If you know such people tell them. Spread it widely. Also none of #COVID-19 #vaccine is tested on animals. This means that people are the animals. Mengele would be happy to see how many doctors are following him even WHO.
